city,vertical,aged_independents
Denver,manufacturing,94
Denver,property-services,84
Denver,retail,58
Denver,distribution-wholesale,49
Denver,law,38
Colorado Springs,property-services,34
Denver,construction,34
Grand Junction,property-services,32
Boulder,property-services,31
Vail,property-services,30
Colorado Springs,manufacturing,26
Lakewood,property-services,26
Aspen,property-services,26
Fort Collins,property-services,25
Colorado Springs,construction,24
Aurora,property-services,24
Denver,dental,23
Englewood,property-services,22
Arvada,manufacturing,21
Colorado Springs,dental,20
Colorado Springs,retail,20
Longmont,property-services,19
Englewood,manufacturing,19
Littleton,property-services,18
Denver,restaurant,17
Denver,childcare,16
Pueblo,retail,15
Westminster,property-services,15
Denver,auto-repair,15
Longmont,distribution-wholesale,15
Grand Junction,distribution-wholesale,14
Pueblo,manufacturing,14
Breckenridge,property-services,14
Avon,property-services,14
Greeley,distribution-wholesale,14
Boulder,retail,13
Greenwood Village,property-services,13
Steamboat Springs,property-services,13
Boulder,manufacturing,12
Winter Park,property-services,12
Denver,trucking-logistics,12
Lakewood,distribution-wholesale,12
Fort Collins,dental,12
Denver,electrical,11
Littleton,manufacturing,11
Denver,insurance-agency,11
Estes Park,property-services,11
Commerce City,distribution-wholesale,11
Golden,manufacturing,11
Loveland,manufacturing,11
Fort Collins,manufacturing,10
Arvada,property-services,10
Parker,property-services,10
Commerce City,manufacturing,10
Centennial,property-services,10
Grand Junction,retail,10
Aurora,manufacturing,10
Loveland,property-services,10
Fort Collins,retail,10
Lakewood,manufacturing,10
Arvada,retail,10
Littleton,construction,10
Englewood,construction,10
Colorado Springs,auto-repair,10
Burlington,manufacturing,9
Sterling,manufacturing,9
Greeley,property-services,9
Durango,manufacturing,9
Rocky Ford,distribution-wholesale,9
Longmont,manufacturing,9
Grand Junction,manufacturing,9
Grand Lake,property-services,8
Monte Vista,manufacturing,8
Arvada,construction,8
Fort Collins,distribution-wholesale,8
Colorado Springs,distribution-wholesale,8
Glenwood Springs,property-services,8
Aurora,distribution-wholesale,8
Centennial,manufacturing,8
Canon City,manufacturing,7
Denver,cleaning-laundry,7
Durango,retail,7
Fort Collins,construction,7
Cedaredge,property-services,7
Pueblo,construction,7
Englewood,distribution-wholesale,7
Frisco,property-services,7
Lakewood,dental,7
Snowmass Village,property-services,7
Broomfield,manufacturing,7
Greenwood Village,law,7
Loveland,distribution-wholesale,7
Littleton,distribution-wholesale,7
Boulder,construction,7
Brighton,manufacturing,7
Wellington,manufacturing,7
Lakewood,construction,7
Grand Junction,law,7
Westminster,manufacturing,7
Greeley,manufacturing,7
Paonia,property-services,7
Grand Junction,construction,7
Aurora,retail,7
Crested Butte,property-services,6
Keystone,property-services,6
Durango,distribution-wholesale,6
Silverthorne,property-services,6
Dillon,property-services,6
Berthoud,property-services,6
Grand Junction,dental,6
Pueblo,dental,6
Englewood,retail,6
Pueblo,restaurant,6
Gunnison,property-services,6
Wheat Ridge,property-services,6
Durango,property-services,6
Carbondale,property-services,6
Boulder,restaurant,6
Lakewood,retail,6
Golden,property-services,6
Colorado Springs,restaurant,6
Denver,plumbing,6
Wheat Ridge,retail,6
Pueblo,electrical,6
Longmont,retail,6
Boulder,distribution-wholesale,6
Centennial,retail,6
Pueblo,property-services,6
Loveland,construction,6
Montrose,property-services,6
Longmont,construction,6
Brighton,retail,6
Thornton,property-services,5
Commerce City,auto-repair,5
Yuma,manufacturing,5
Highlands Ranch,property-services,5
Eaton,property-services,5
Grand Junction,auto-repair,5
Denver,accounting,5
Alamosa,manufacturing,5
Arvada,distribution-wholesale,5
Commerce City,construction,5
Castle Rock,property-services,5
Fort Collins,auto-repair,5
Commerce City,trucking-logistics,5
Colorado Springs,accounting,5
Greenwood Village,manufacturing,5
Fort Morgan,distribution-wholesale,5
Cortez,distribution-wholesale,5
Golden,trucking-logistics,5
Sterling,distribution-wholesale,5
Vail,retail,5
Golden,retail,5
La Junta,retail,5
Littleton,retail,5
Delta,retail,5
Colorado Springs,plumbing,5
Fort Lupton,manufacturing,5
Englewood,dental,5
Pueblo,auto-repair,5
Pueblo,distribution-wholesale,5
Evergreen,distribution-wholesale,5
Monte Vista,property-services,4
Greeley,auto-repair,4
Silt,property-services,4
Copper Mountain,property-services,4
Grand Junction,landscaping,4
La Junta,property-services,4
Hotchkiss,distribution-wholesale,4
Boulder,childcare,4
Fraser,property-services,4
Greeley,retail,4
Louisville,property-services,4
Pueblo,law,4
Cortez,retail,4
Parker,distribution-wholesale,4
Frederick,manufacturing,4
Denver,landscaping,4
Colorado Springs,electrical,4
Aurora,construction,4
Castle Rock,construction,4
Telluride,property-services,4
Colorado Springs,law,4
Lakewood,law,4
Broomfield,auto-repair,4
Edwards,property-services,4
Greenwood Village,insurance-agency,4
Boulder,law,4
Lafayette,manufacturing,4
La Junta,distribution-wholesale,4
Montrose,distribution-wholesale,4
Golden,law,4
Lakewood,auto-repair,4
Glenwood Springs,construction,4
Broomfield,property-services,4
Fort Morgan,retail,4
Englewood,plumbing,4
Littleton,auto-repair,4
Centennial,insurance-agency,4
Greeley,construction,4
Commerce City,dental,3
Platteville,property-services,3
Windsor,property-services,3
Hesperus,property-services,3
Estes Park,retail,3
Lamar,manufacturing,3
Johnstown,manufacturing,3
Loveland,childcare,3
Morrison,distribution-wholesale,3
Aspen,retail,3
Paonia,distribution-wholesale,3
Hotchkiss,property-services,3
Vail,restaurant,3
Monument,manufacturing,3
Centennial,accounting,3
Englewood,hvac,3
Divide,property-services,3
Englewood,law,3
Idaho Springs,manufacturing,3
Englewood,auto-repair,3
Alamosa,construction,3
Golden,dental,3
Denver,salon-fitness,3
Pine,distribution-wholesale,3
Pine,property-services,3
Evergreen,manufacturing,3
Boulder,accounting,3
Colorado Springs,childcare,3
Canon City,retail,3
Pagosa Springs,property-services,3
Monte Vista,construction,3
Wheat Ridge,manufacturing,3
Arvada,auto-repair,3
Lakewood,accounting,3
Denver,hvac,3
Estes Park,manufacturing,3
Greenwood Village,retail,3
Littleton,electrical,3
Windsor,manufacturing,3
Boulder,dental,3
Yuma,retail,3
Durango,dental,3
Montrose,construction,3
Evergreen,property-services,3
Telluride,construction,3
Monte Vista,distribution-wholesale,3
Hugo,distribution-wholesale,3
Aurora,trucking-logistics,3
Yuma,distribution-wholesale,3
Avon,restaurant,3
Golden,distribution-wholesale,3
Westminster,dental,3
La Junta,manufacturing,3
Littleton,dental,3
Salida,construction,3
Basalt,construction,3
Greenwood Village,construction,3
Rocky Ford,property-services,3
Holly,property-services,3
Pueblo,childcare,3
Westminster,retail,3
Eaton,distribution-wholesale,3
Carbondale,distribution-wholesale,3
Centennial,dental,3
Glenwood Springs,law,3
Steamboat Springs,retail,3
Lakewood,insurance-agency,3
Glenwood Springs,auto-repair,3
Littleton,funeral,3
Boulder,cleaning-laundry,3
Grand Junction,hvac,3
Durango,construction,3
Denver,funeral,3
Wheat Ridge,funeral,3
Lafayette,construction,3
Centennial,distribution-wholesale,3
Colorado Springs,insurance-agency,3
Loveland,retail,3
Steamboat Springs,distribution-wholesale,3
Highlands Ranch,auto-repair,3
Longmont,trucking-logistics,3
Colorado Springs,veterinary,3
Franktown,construction,3
Black Hawk,property-services,3
Craig,manufacturing,3
Fruita,property-services,3
Grand Junction,insurance-agency,3
Broomfield,law,3
Springfield,distribution-wholesale,3
Henderson,construction,3
Broomfield,dental,2
Sterling,dental,2
Greenwood Village,auto-repair,2
Wheat Ridge,dental,2
Fort Collins,trucking-logistics,2
Cortez,manufacturing,2
Akron,manufacturing,2
Steamboat Springs,dental,2
Center,manufacturing,2
Glenwood Springs,retail,2
Durango,trucking-logistics,2
Ignacio,property-services,2
Delta,property-services,2
Crawford,property-services,2
Fort Morgan,manufacturing,2
Eaton,landscaping,2
Fort Lupton,retail,2
Westcliffe,property-services,2
Bailey,property-services,2
Lakewood,restaurant,2
Morrison,construction,2
Sterling,electrical,2
Conifer,property-services,2
Eldorado Springs,property-services,2
Brush,distribution-wholesale,2
Crawford,distribution-wholesale,2
Larkspur,property-services,2
Trinidad,distribution-wholesale,2
Evergreen,retail,2
Red Feather Lakes,property-services,2
Northglenn,dental,2
Idaho Springs,property-services,2
Brush,property-services,2
Brighton,property-services,2
Sterling,property-services,2
Johnstown,property-services,2
Canon City,auto-repair,2
Breckenridge,construction,2
Broomfield,construction,2
Center,retail,2
Grand Junction,trucking-logistics,2
Fort Lupton,construction,2
Westminster,insurance-agency,2
Northglenn,electrical,2
Indian Hills,manufacturing,2
Gunnison,auto-repair,2
Steamboat Springs,manufacturing,2
Castle Pines,manufacturing,2
Timnath,manufacturing,2
Englewood,accounting,2
Eagle,construction,2
New Castle,property-services,2
Glenwood Springs,dental,2
Sterling,construction,2
Sedalia,retail,2
Delta,manufacturing,2
Roggen,distribution-wholesale,2
Greeley,dental,2
Aspen,construction,2
Wheat Ridge,distribution-wholesale,2
Wiggins,manufacturing,2
Oak Creek,manufacturing,2
Eaton,manufacturing,2
Colorado Springs,salon-fitness,2
Ovid,manufacturing,2
Otis,manufacturing,2
Ordway,distribution-wholesale,2
Arvada,accounting,2
Boulder,hvac,2
Lakewood,landscaping,2
Glenwood Springs,distribution-wholesale,2
Glendale,dental,2
Clifton,construction,2
Lamar,retail,2
Aurora,auto-repair,2
Wiley,property-services,2
Fort Collins,plumbing,2
Montrose,retail,2
Greeley,childcare,2
Woodland Park,construction,2
Golden,auto-repair,2
Broomfield,retail,2
Durango,restaurant,2
Snowmass Village,restaurant,2
Fort Morgan,property-services,2
Trinidad,property-services,2
Manitou Springs,construction,2
Aurora,plumbing,2
Parker,construction,2
Wheat Ridge,electrical,2
Bayfield,property-services,2
Wray,manufacturing,2
Fruita,manufacturing,2
Bellvue,property-services,2
Lakewood,veterinary,2
Avon,retail,2
Kim,manufacturing,2
Wiggins,distribution-wholesale,2
Pueblo,hvac,2
Littleton,salon-fitness,2
Littleton,law,2
Wheat Ridge,restaurant,2
Johnstown,distribution-wholesale,2
Saguache,manufacturing,2
Colorado Springs,trucking-logistics,2
Loveland,cleaning-laundry,2
Wheat Ridge,construction,2
Hayden,property-services,2
Sterling,trucking-logistics,2
Sedalia,construction,2
Highlands Ranch,manufacturing,2
Rye,manufacturing,2
Commerce City,retail,2
Evergreen,accounting,2
Highlands Ranch,dental,2
Rifle,construction,2
Walsenburg,distribution-wholesale,2
Strasburg,manufacturing,2
Fort Morgan,auto-repair,2
Erie,manufacturing,2
Dillon,retail,2
Greeley,landscaping,2
Montrose,hvac,2
Berthoud,construction,2
Florence,distribution-wholesale,2
Aurora,dental,2
Breckenridge,law,2
Fort Collins,childcare,2
Golden,electrical,2
Colorado Springs,funeral,2
Lafayette,distribution-wholesale,2
Broomfield,plumbing,2
Loveland,restaurant,2
Granby,property-services,2
Mancos,property-services,2
Gunnison,manufacturing,2
Holyoke,trucking-logistics,2
Lamar,distribution-wholesale,2
Golden,construction,2
Centennial,plumbing,2
Lone Tree,distribution-wholesale,2
Craig,distribution-wholesale,2
Lone Tree,dental,2
Mt. Crested Butte,property-services,2
Arvada,restaurant,2
Monument,accounting,2
Castle Pines,construction,2
Loveland,plumbing,2
Loveland,landscaping,2
Louisville,distribution-wholesale,2
Englewood,insurance-agency,2
Colorado Springs,hvac,2
Parker,retail,2
Gunnison,construction,2
Montrose,plumbing,2
Fort Lupton,property-services,2
Salida,retail,2
Fort Collins,veterinary,2
Evergreen,auto-repair,2
Parker,landscaping,2
Denver,veterinary,2
Pueblo,trucking-logistics,2
Fountain,manufacturing,2
Longmont,childcare,2
Buena Vista,distribution-wholesale,2
Limon,distribution-wholesale,2
Englewood,electrical,2
Greeley,insurance-agency,2
Brandon,manufacturing,2
Mc Clave,manufacturing,2
Clifton,property-services,2
Eagle,property-services,2
Thornton,distribution-wholesale,2
Severance,distribution-wholesale,2
Alamosa,property-services,2
Englewood,salon-fitness,2
Longmont,electrical,2
Brighton,landscaping,2
Sedalia,distribution-wholesale,2
Steamboat Springs,plumbing,2
Cascade,retail,2
Elizabeth,retail,2
Merino,trucking-logistics,2
Fort Morgan,trucking-logistics,2
Gunnison,retail,2
Canon City,restaurant,2
Arvada,dental,2
Palisade,construction,1
Hasty,funeral,1
Briggsdale,manufacturing,1
Roggen,manufacturing,1
Berthoud,accounting,1
Wiley,manufacturing,1
Villa Grove,manufacturing,1
Meeker,retail,1
Cortez,auto-repair,1
Greeley,veterinary,1
Northglenn,construction,1
Granada,manufacturing,1
Fleming,construction,1
Aurora,accounting,1
Pagosa Springs,manufacturing,1
Durango,salon-fitness,1
Lone Tree,construction,1
Rocky Ford,landscaping,1
Walsh,landscaping,1
Alamosa,landscaping,1
Moffat,manufacturing,1
Cuchara,property-services,1
Dolores,construction,1
Montrose,auto-repair,1
Eads,manufacturing,1
Laporte,property-services,1
Niwot,property-services,1
Louisville,dental,1
Granby,manufacturing,1
Eaton,construction,1
Arvada,electrical,1
Monte Vista,landscaping,1
Mancos,distribution-wholesale,1
Aurora,storage,1
Fruita,auto-repair,1
Hugo,property-services,1
Laporte,landscaping,1
Henderson,electrical,1
Florence,property-services,1
Mead,property-services,1
Eckert,property-services,1
Eads,distribution-wholesale,1
Lafayette,property-services,1
Loveland,veterinary,1
Arvada,trucking-logistics,1
Broomfield,hvac,1
Durango,childcare,1
Fort Collins,salon-fitness,1
Avon,construction,1
Aspen,auto-repair,1
Erie,distribution-wholesale,1
Evergreen,hvac,1
Buena Vista,retail,1
Dacono,manufacturing,1
Sedgwick,manufacturing,1
Brighton,dental,1
Pagosa Springs,roofing,1
Longmont,veterinary,1
Erie,retail,1
Milliken,manufacturing,1
Broomfield,electrical,1
Cowdrey,manufacturing,1
Avondale,retail,1
Eagle,electrical,1
Pine,manufacturing,1
Evergreen,restaurant,1
Golden,salon-fitness,1
Manzanola,distribution-wholesale,1
Pueblo,funeral,1
Monte Vista,funeral,1
Aspen,manufacturing,1
